7 10 17 21 35 40 | 8 13 36
0 0 0 0 0 0 | 0 0 0
0 0 0 0 0 1 | 0 0 0
0 0 0 0 1 0 | 0 0 0
0 0 0 0 1 1 | 0 0 0
0 0 0 1 0 0 | 0 0 0
0 0 0 1 0 1 | 0 0 0
0 0 0 1 1 0 | 0 0 0
0 0 0 1 1 1 | 0 0 0
0 0 1 0 0 0 | 0 0 0
0 0 1 0 0 1 | 0 0 0
0 0 1 0 1 0 | 0 0 0
0 0 1 0 1 1 | 0 0 0
0 0 1 1 0 0 | 0 0 0
0 0 1 1 0 1 | 0 0 0
0 0 1 1 1 0 | 0 0 0
0 0 1 1 1 1 | 0 0 0
0 1 0 0 0 0 | 0 0 0
0 1 0 0 0 1 | 0 0 0
0 1 0 0 1 0 | 0 0 0
0 1 0 0 1 1 | 0 0 0
0 1 0 1 0 0 | 0 0 0
0 1 0 1 0 1 | 0 0 0
0 1 0 1 1 0 | 0 0 0
0 1 0 1 1 1 | 0 0 0
0 1 1 0 0 0 | 0 0 0
0 1 1 0 0 1 | 0 0 0
0 1 1 0 1 0 | 0 0 0
0 1 1 0 1 1 | 0 0 0
0 1 1 1 0 0 | 0 0 0
0 1 1 1 0 1 | 0 0 0
0 1 1 1 1 0 | 0 0 0
0 1 1 1 1 1 | 0 0 0
1 0 0 0 0 0 | 0 0 0
1 0 0 0 0 1 | 0 0 0
1 0 0 0 1 0 | 0 0 0
1 0 0 0 1 1 | 0 0 0
1 0 0 1 0 0 | 0 0 0
1 0 0 1 0 1 | 0 0 0
1 0 0 1 1 0 | 0 0 0
1 0 0 1 1 1 | 0 0 0
1 0 1 0 0 0 | 0 0 0
1 0 1 0 0 1 | 0 0 0
1 0 1 0 1 0 | 0 0 0
1 0 1 0 1 1 | 0 0 0
1 0 1 1 0 0 | 0 0 0
1 0 1 1 0 1 | 0 0 0
1 0 1 1 1 0 | 0 0 0
1 0 1 1 1 1 | 0 0 0
1 1 0 0 0 0 | 0 0 0
1 1 0 0 0 1 | 0 0 0
1 1 0 0 1 0 | 0 0 0
1 1 0 0 1 1 | 0 0 0
1 1 0 1 0 0 | 0 0 0
1 1 0 1 0 1 | 0 0 0
1 1 0 1 1 0 | 0 0 0
1 1 0 1 1 1 | 0 0 0
1 1 1 0 0 0 | 0 0 0
1 1 1 0 0 1 | 0 0 0
1 1 1 0 1 0 | 0 0 0
1 1 1 0 1 1 | 0 0 0
1 1 1 1 0 0 | 0 0 0
1 1 1 1 0 1 | 0 0 0
1 1 1 1 1 0 | 0 0 0
1 1 1 1 1 1 | 0 0 0
